[15-Nov-2012 13:23:14 UTC] PHP Fatal error:  Cannot use object of type Entity as array in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 168
[15-Nov-2012 13:23:39 UTC] PHP Fatal error:  Cannot use object of type Entity as array in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 170
[15-Nov-2012 15:23:49 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/node.tpl.php on line 5
[15-Nov-2012 16:25:35 UTC] PHP Fatal error:  Function name must be a string in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 121
[16-Nov-2012 09:08:31 UTC] PHP Parse error:  syntax error, unexpected $end in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/views-view--noticias--page.tpl.php on line 25
[16-Nov-2012 11:53:20 UTC] PHP Parse error:  syntax error, unexpected '}' in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 195
[20-Nov-2012 09:54:31 UTC] PHP Fatal error:  Call to a member function __toString() on a non-object in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 187
[20-Nov-2012 09:55:48 UTC] PHP Fatal error:  Call to a member function __toString() on a non-object in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 191
[20-Nov-2012 14:47:17 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 14:47:18 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 14:50:25 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 14:50:31 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 14:50:32 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 14:53:13 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 71 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/errors.inc on line 281
[20-Nov-2012 15:03:27 UTC] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 260
[20-Nov-2012 15:03:27 UTC] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 260
[20-Nov-2012 15:03:27 UTC] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 260
[21-Nov-2012 11:43:59 UTC] PHP Fatal error:  Call to undefined function array_unshif() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/mapa.module on line 227
[22-Nov-2012 15:20:47 UTC] PHP Fatal error:  Call to a member function addMetaData() on a non-object in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/views/plugins/views_plugin_query_default.inc on line 1428
